Banana Splits           d By Herb
Spot Bollock            x Right on. Exactly!
Spotty Back             -
Spotty Boy              -
Spotty Brow             - there's a spot on Simon's forehead (13 May)
Spotty Bum              x
Spring Back             - (Fall forward?)
Spring Balance          -
Spring Ball             - a Society Ball held before the Summer Ball
Spring Bank-holiday
Spring Bash             c A society piss-up
Spring Beans            -
Spring Birth            - the sign of a genius (Times 5/7/91)
Spring Board            -
Spring Bok              - some form of deer
Spring Bound            - folders with Spring Binding, what happy lambs do)
Sprite Bottle           b   contains lemonade
Spud Bake               -
Spud Bashing            - potato peeling for naughty soldiers
Spumante Brut           - dry fizzy wine
Spunky Bottom           x
Spunky Boy
Spunky Bubble           x
Square Bashers          - people who march - eg Infantry
Square Block            -
Square Box              -
Square Brackets         - []
Square Bullet           - Herb, 2005/08/01 from search S*_B*.* on ThinkPad
Squash Ball             -
Squash Beetles          - 2006/12/22 Tim Carpenter
Squash Bottle           -
Squashed Badger
Squashed Banana         -
Squashed Beaver         -
Squashed Bee            -
Squashed Berries        -
Squashed Budgie         -
Squashed Bug            -
Squeaky Bra             x See Bill Jinks or Juliet for details or a demo
Squeaky Brakes          -
Squealing Babies        -
Squealing Bastards      x
Squealing Brakes        -
Squealing Brats         -
Squeeze Box             - "Mama's got a Squeeze Box, Daddy can play", the Who
Squidgy Bum             - from literature - see Hilma
Squiggly Brackets       - {}
Squirrel Brush          -  well - foxes have them, and they are "bushy tails."
Squirt Boat             n A type of canoe
Squosh Bottle           b A special type of orange squash
St. Bartholomew         n
St. Benedictine         n
St. Bernard             n
St. Bruno               n Pipe tobacco
Stabilo Boss            b Fluorescent pens
Stable Base             -
Stable Bolt             c For use after the horse has - gone.
Stable Boy              -
Staff Bar               - Where lecturers get pissed
Staff Bus               - found at London Heathrow
Staff Buttery           - Where lecturers get fed
Stag Beetle             -
Stage Box               -
Stagger Back            - up the cliff to the hotel
Staggering Blow         -
Staggeringly Beautiful  -
Staggeringly Blatant    -
Stagnant Backwater      -
Stagnant Boarhole       c from another book Hilma's read - but spelt wrong
Stagnant Borehole       - from another book Hilma's read
Stained Banana          c
Stained Bat             c
Stained Bath            -
Stair Bannister         -
Stale Bap
Stale Bread             -
Stale Breath            - garlic chops
Staley Bridge           p
Stambecchi Bouquetins c Italian name for Bouquetins
Stamford Bridge         p
Stamp Book              -
Stampeding Buffaloes    -
Stampeding Bulls        -
Stand Back              -
Stand By                - from WHATIS. A cheap ticket, waiting for call out
Standard Bearer         - Roman legionary who holds SPQR sign
Standard Book           - part of ISBN - International SB Number
Stanley Baldwin         n
Stanley Baxter          n Supposedly funny Scotsman
Stanley Blades          b Replacement blades for Stanley knives
Staple Box              -
Star Belt               -
Star Bingo              b Game run by Daily Star
Star Brake              s 
Star Break              - Like day break when it's not the Sun
Star Brite              n Fictional company from in "Incident at Dark River"
Star Bright             -
Star Burst              -
Starboard Bow           - front right of a boat
Starboard Buoy          -
Starched Bloomers       c Ouch, uncomfortable.
Starched Blouse         -
Starlings Beak
Starlings Bill
Start Button            -
Started Breathing
Starter Bra             - Training Bra
Starting Blocks         -
Starving Bangladeshi    x
Starving Beggars        -
Stat Bag                - German rubbish (Army term?)
State Border            -
State Bottled           - on wine bottle labels
Static Belt             q A shock from charged up floors and doors
Static Binding          -
Static Box              - NO LONGER a large white rectangle over our :UDEF window.
Stationary Bus(t)       c Where Hilma's brother George lives
Statistical Bearing     -
Status Bar              - (Herb, 2005/08/01 from search S*B*.* on ThinkPad)
Status Blue             q For X-Rated SB's
Statute Books           -
Steak Bearnaise         -
Steak Breakfast         - Good to have before flying to the moon
Steak Burger            - A hamburger made from Sirloin?
Stealth Bomber          -
Steam Bath              -
Steam Bitter            - A type of beer. Eg Newquay Steam Bitter
Steam Boat              -
Steam Boiler            -
Steamed Beans           -
Steel Band              -
Steel Bar               -
Steel Barge
Steel Bath              -
Steel Bayonet           - they don't like it up them
Steel Bidet
Steel Blue              - a colour
Steel Boiler            -
Steel Bottom            c
Steel Bowler            - The dangerous hat in a James Bond film
Steel Braces            - Simons picture looks like a mouth going for a row
Steel Bridge            - Simons picture looks like a mouth going for a row
Steel Building          -   From the yellow pages:
Stefan Buczaki          -    Gardener's Question Time
Step Back               - in amazement
Step Brother            -
Steph Brown             n daughter of Trevor Brown, PSC
Stephanie Beecham       n
Stephen Baker           n Author of "How to live with a neurotic cat"
Stereophonic Balance    -
Sterile Bandage         - for First Aiders
Sterilized Bottle       - for babies milk
Sterilized Boyfriend    - "... is never having to say you're sorry"
Steroid Boost           - for SteroidBuilt Biceps
Steuerungs bereich      - from WHATIS
Steve Backley           n a javelin thrower
Steve Buckley           n English Golf Union Course SSS assessor
Steve Bauer             n
Steve Bikko             n pre-Mandela
Steve Blame             n presenter of "A Week in Rock" on MTV
Stevie B                n   rock musician
Stewed Beans            -
Stewed Beef             -
Stewing Beef            -
Sti- bium  c from WHATIS Antimony, case should be-Sb, atomic number =51)
Stick   Bread           -
Stick-catching Badger   c from email from Badger brewery
Stickle Back            - a little fish
Sticky Back             - (plastic) as in Sellotape
Sticky Buds             -
Sticky Bun(s)           - yummy
Stiff Back              -
Stiff Brandy            -
Still Born              -
Still Brainstorming     -
Still Breathing         - we thought he was dead
Stink Bomb              -
Stinky Bloom            - what a young lad may say about a rose or lily
Stock Book              -
Stock Broker            -
Stockbroker Belt        - A rich suburban area around London
Stocks Bonds          c Stocks and Bonds
Stokes Bay              p Beach next to Lee-on-the-Solent
Stolen Beginnings       b A book by Susan Lewis
Stolen Belongings       -
Stolen Biro             - Biro is name of Frenchman who invented the ball-point
Stone Bowls             - as used by Fred Flintstone
Stone Breakers          -
Stone Bridge            -
Stone Building          -
Stoneground Bread       -
Stoney Beach            -
Stoney Bridge           n i think its in Wales
Stoney Broke            -
Stop Button             -
Stopped Breathing
Stork-brought Babies    c
Storm Belt              -
Story Board             -
Story Book              -
Straddle Back           - "Strideleg"  ("Stridelegs - astride")
Straight Back           -  as in "I'll get SB" or what Adey wants
Straight Banana         -
Straight Bourbon
Straight Bourbon        -
Strained Back           -
Stranded Bayleen        -   type of whale in trouble
Strange Behaviour       -
Strange Brew            - title from Song
Strangled Body
Strapless Bikini        -
Strapless Bra           -
Stratford Bard          - Shakespeare was a man of wit. etc..
Straw Bale              -
Straw Basket            -
Straw Bed               -
Straw Berries           c
Straw Blonde            - a hair colour
Straw Boater            - wear this at Henley
Straw Box               - like a hay box - for backwoods casserole cooking
Straw Bundle            q
Straw Burning           -
Strawberry Bed          - where strawberries grow
Strawberry Blancmange   -
Strawberry Blonde       - another hair colour
Strawberry Blusher      - beautiful make-up?
Streaky Bacon           - high in cholesterol but irresistible
Stream Bed              - like a river bed, but smaller
Streamlined Body        - for super fast cars
Street Band             -
Street Battle           -
Street Beggars          -
Street Blues            - as in Hill Street Blues
Street Boy
Street Brats            - nasty little kids
Street Brawl            -
Street Busker           -
Strepsils Box           b The tin that Strepsils throat lozenges come in
Stretch Briefs          -
Stretched Belt          c From eating too many Snickers Bars
Stretched Bowels        x
Stretcher Bearer
Strictly Business       - no fun involved
Strike Ball             - All ten pins down in first ball
Strike Breakers         - Black legs
Striking Binmen
String Bag              -
String Bass             -
String Beans            - like runner beans but stringier
String Bridge
String Briefs           -
Strip Buffer            - from WHATIS
Stripey B               q Middle letter of I B M
Stripey Bag             -
Stripey Blazer          - to go with your Straw Boater
Stripped Bare           - like walls of wallpaper or doors of paint
Strong Beer             - eg Bishops Tipple
Strong Bow              c Cider
Strong Box              - In a safe
Strong Drink
Structural Blueprint    -
Strychnine Bottle       -
Stuart Barnes           n hardware man (for IMPD?)
Stubble Burning         -
Stubbly Beard           -
Stud Book               - "A record of horse's pedigree"
Studded Belts           -
Studded Boots           -
Studebacker Bonnet      -
Studebacker Boot        -
Studebacker Brakes      -
Studebacker Bumper      -
Student Bar             - Where students get pissed
Student Botanist        -
Student's Buttery       - Where students get fed
Studland Beach          p Where I cycled my Schwinn Bike to - first outing
Stuffed Bear            - eg Winnie-the-Pooh
Stuffed Bird            - through taxidermy
Stuffed Boy             - (Just) William Brown, after eating too many cream cakes.
Stumbling Block         -
Stunning Blonde         -
Stunning Blow           -
Stunningly Beautiful    -
Stunt Bat               b A type of canoe (see Canoeing July 1991)
Stupid Bast             q Overflow from a warning message from MM code page conversion (Tim Carpenter, 19-Dec-2006)
Stupid Bastard          x
Stupid Bat              -
Stupid Belgian          - (Roy?)
Stupid Berk             -
Stupid Bonker
Stupid Boy              -
Stupido Brits           - mad English cyclists in Italy
Stuttgarter Biergarten
Stuttgarter Brauerei    p Stuttgart Brewery
Style Book              -
Styling Brush           -
Stymied Ball            - In golf, got opponent's ball between your's and the hole.
Subcutaneous Blubber    q Fat
Submarine Base          -
Submarine Blue          -
Subsequent Birth        c Subsequent to birth, on receipt of Slapped Bum/Bottie)
Subsidised Bonking
Substitute Bench        - where the 12th man sits
SubMachineGun Bullet    c
Sucking Bottle          - "a milk bottle for infants".
Suckling Baby           - before use of Sucking Bottles
Sudbury Branch          p
Sudden Burst
Sue Bagan               n
Sue Bailey              n
Sue Barker              n
Sue Barrat              n now Sue Long
Sue Blagg               n new lodger 6th October
Sue Brown               n Stephanie Browns's mum
Suede Boots             -
Suede Brush             -
Suede Buff              -
Suffocated Body
Sugar Baby              -
Sugar Bag               -
Sugar Basin             -
Sugar Beet              -
Sugar Bomb              -
Sugar Bowl              -
Sugar Box               -
Sugary Bun              - like a sticky bun
Suggestions Box
Suit Bag                - What protects your suits
Suit Box                - What protects your suits on a plane
Suplhurous Brewmasters  - My first and onlu google whack. No longer a googlewhack I'm afraid (Herb 2004/5)
Sultana Bran            b a breakfast cereal
Sultana Bun             - a specialised currant bun
Summer Ball             -
Summer Bash             - Less formal than a Summer Ball, held at a pub
Summer Bay              p place where Aussie soap "Home and Away" is set
Summer Break            - a vacation
Summer Breeze           - from "blowing in the jasmin of my mind"
Sun Baked               - eg Mud bricks
Sun Bathe(rs)           -
Sun Beam                -
Sun Bed                 -
Sun Bingo               b game run by The Sun
Sun Bleached            - hair or clothes
Sun Blessed             -
Sun Blest               - a famous brand of Sliced Bread
Sun Blind               - like Snow Blind
Sun Blinds              - what stops you getting Sun Blind
Sun Block               -
Sun Bonnets             -
Sun Break               - ie Sun Shade
Sun Burn                -
Sun Burned              - or Sun Burnt?
Sun Burst
Sunday Bath             - What Wowbagger the infinitely prolonged took many of
Sunday Best             - Used to be a smart suit. Now cycling shorts more suitable.
Sunday Bonk             x see Saturday Bonk
Sunday Breakfast        - normally boiled eggs and fresh coffee
Sunday Brunch           - Not quite breakfast or lunch
Sunflower Blooms        -
Sunhill Bill
Sunken Bath             -
Sunken Boat             -
Sunny Balcony           -
Sunny Bank-holiday      c
Sunny Beach             -
Sunset Boulevard        p a street in San Francisco
Supa Bull               -  on dart board in Wymering Arms
Super Ball              -
Super BargainBasement   - Personal sales column on Pompey Evening News
Super Bike              -
Super Bitch             - Joan Collins
Super Bowl              -
Super Boy               -
Superior Blood          -
Superior Bread          -
Superior Bred           -
Superior Breed          -
Supersticious Beliefs   -
Supply Boat             -
Support Bra             - with underwiring and bones and extra strong elastic?
Support Bus             - from WHATIS
Supported By            q As in "Herb took part in xxxxx, supported by yyyyy"
Sure Boss               - Yes sir, right sir, three bags full sir.
Surf Board              -
Surgical Bandage        -
Surgical Blade          -
Surgical Brace          -
Surprise B-dayparty     c
Surprise Bonk
Surprise BBQ
Surrey Batsman
Survival Bag
Sushi Bar
Suspended Belief        -
Suspender Belt          -
Suspension Bridge       -
Suspension Building     - built "top-down."  (See Bill('s dad))
Sussex Brewery          - in Emsworth
Sutherland Brothers     n and Quiver. Name of a band
Suzuki Bike
Swaddled Baby           - "And they wrapped Him in swaddling clothes and laid Him in a manger"
Swaddling Band          - Cloth for above
Swag Bag                - For burglars to put the Silver Bxxx's in.
Swallows Beak
Swallows Bill
Swan Babies             - when you can't remember they're cygnets
Swan's Beak             -
Swan's Belly            q
Swan's Bits             q
Swan's Bum              q
Swans Beak
Swans Bill
Swarming bees           c
Swash Buckle            c
Swaying Building        c well...... maybe
Swear Box               - piggy bank for fines for swearing
Sweat Band              - for head or wrists
Sweat Box               -
Sweaty Back             -
Sweaty Bodies           -
Sweaty Bollocks         x
Sweaty Brow             -
Sweaty Buttocks         x
Swedish Blonde          -
Sweep's Bag             - what a sweep puts his brushes in
Sweep's Broom
Sweep's Brushes         - what a sweep puts in his bag
Sweeping Brush          - a large broom
Sweet Basil             - a herb
Sweet Biscuit           -
Sweet Breads            c
Sweet Breath            -
Sweet Brethren          - opening of a bad postcard
Sweet Briar             n Retail park near Norwich 2005/09/04
Sweetie Bag             -
Swept Back              - hair, wave on beach?
Swift Bonk              x
Swift Briefing          c A short presentation since we're running out of time
Swig Beer               - 2006/12/22 Tim Carpenter
Swimming Badge          -
Swimming Baths          -
Swing Ball              - a silly tennis game
Swing Bin               -
Swing Boat              - found in children's parks
Swing Boom              - to do with sailing
Swing Bridge            -
Swinging Bollocks       x
Swiss Bank              -
Swiss Bold              - a font
Swiss Border            - cross that to get into neutral territory
Switch Back             -
Switch Blade            -
Switch Board            -
Switch Box              -
Switchable Bandwidth    - from presentation by Jeff Ace, ETCC
Swollen Belly           - like what pregnant women get
Swollen Breasts         - like what pregnant women get
Sworn Believer          - Ah bee leave!
Sycamore Blossom        -
Syd Barrat              n Founder member of Pink Floyd
Sydney Bay              p
Sympathy Bonk           - from Buffy (Biggles, 2005/07/30) http://www.buffyverse.co.uk/forum/show.php/act/Print/client/printer/f/42/t/1645  
Sympathetic Bonk        - (Jon 2005/07/30)
Synchronised Bouncing   c
Synchronous Build       q
Syntactical Blunder     -
System Backup           - (Herb 2005/08/01)
System Blink            - like when there's a power blip.
System Board            -
System Build            - something that seems almost impossible sometimes
Systematic Blackmail    -
Systematic Bullying     -
